Text 1,Text 2 ,Expected,Observed
ARDsh,PHT,0.155101728,0
ARDsh,SPTAD,0.493505498,0
ARDsh,TMP,4.251197364,4
AYL,PHT,0.530211886,0
AYL,STMsh,1.229127553,1
E3sh,H8sh,4.162764857,4
E3sh,MMsh,6.809609564,6
ERR,SPTAD,1.129162037,1
H8sh,PHT,0.291658684,0
JC,STMsh,0.873481743,0
LC,SHR,4.19449021,2
LC,SPTAD,0.472048737,0
LC,x2H6sh,2.063527338,2
LLL,PHT,0.654124679,0
LLL,STMsh,1.516379938,1
LR,STMsh,1.657074984,1
MND,STMsh,1.156825932,0
MV,PHT,0.493122342,0
MV,SPTAD,1.569025633,0
OTH,SPTAD,1.794321622,1
PERsh,WIV,6.514195946,6
PERsh,x1H6sh,1.21736465,1
PHT,R3,0.746005594,0
PHT,SHR,0.524311276,0
PHT,SPTAD,0.059006092,0
PHT,STMsh,0.042990153,0
PHT,TN,0.476263458,0
PHT,WIV,0.42400092,0
PHT,WT,0.667611786,0
PHT,x1H4,0.697957776,0
PHT,x1H6sh,0.079236752,0
PHT,x2H6sh,0.257940917,0
PHT,x3H6sh,0.35740833,0
R3,PHT,0.746005594,0
SPTAD,STMsh,0.13678685,0
SPTAD,TGV,1.233763746,1
SPTAD,TIMsh,1.147936703,0
STMsh,TAsh,1.025901376,1
STMsh,TGV,0.898885015,0
STMsh,VEN,1.016130886,0
STMsh,x1H6sh,0.183685199,0
TMP,x1H6sh,2.171807349,0
WIV,x1H6sh,1.811640293,0
WIV,x3H6sh,8.171654086,5
