All Texts Rare Word Counts,,,,,All Texts 2-6 Words,,,CS Iteration Rare Word Counts,,,,,CS Iteration 2-6 Words,
Sorted Alphabetically,,,,,Sorted High to Low,,,Sorted Alphabetically,,,,,Sorted High to Low,
,2-6 Words,7-11 Words,2-11 Words,,,2-6 Words,,,2-6 Words,7-11 Words,2-11 Words,,,2-6 Words
ADO,357,256,613,,HAM,900,,ADO,493,355,848,,HAM,1065
ALCH,773,496,1269,,TNK,881,,ANT,787,474,1261,,TRO,999
ANT,556,418,974,,x2H6,811,,ARDsh,184,109,293,,H5,986
ARD,556,314,870,,ALCH,773,,AWWsh,628,455,1083,,R3,885
ARDnsh,379,219,598,,TRO,770,,AYL,629,413,1042,,LUC,870
ARDsh,177,95,272,,H5,746,,COR,861,510,1371,,COR,861
AWW,714,369,1083,,AWW,714,,CYM,837,604,1441,,LR,848
AWWnsh,49,22,71,,x1H6,712,,E3sh,314,222,536,,CYM,837
AWWsh,665,347,1012,,E3,693,,ERR,421,297,718,,x2H4,830
AYL,472,296,768,,AWWsh,665,,H5,986,661,1647,,x1H4,828
COR,604,419,1023,,SHR,659,,H8sh,346,208,554,,WT,792
CYM,604,447,1051,,TA,654,,HAM,1065,632,1697,,ANT,787
E3,693,468,1161,,x1H6nsh,641,,JC,447,344,791,,LLL,776
E3nsh,431,289,720,,SON,638,,JN,663,489,1152,,R2,756
E3sh,262,179,441,,LR,633,,LC,176,85,261,,ROM,717
ERR,311,226,537,,x2H4,632,,LLL,776,541,1317,,OTH,669
H5,746,489,1235,,H8,626,,LR,848,506,1354,,JN,663
H8,626,392,1018,,R3,616,,LUC,870,536,1406,,AYL,629
H8nsh,311,193,504,,x1H4,607,,MAC,595,372,967,,AWWsh,628
H8sh,315,199,514,,COR,604,,MMsh,566,428,994,,SHR,622
HAM,900,501,1401,,CYM,604,,MND,592,395,987,,TMP,603
HAMQ1,400,256,656,,TIM,594,,MV,585,457,1042,,MAC,595
JC,305,251,556,,PER,590,,OTH,669,526,1195,,MND,592
JN,482,370,852,,LLL,588,,PERsh,338,216,554,,MV,585
KNACKsh,34,28,62,,WT,587,,PHT,22,13,35,,MMsh,566
LC,128,71,199,,LUC,579,,R2,756,499,1255,,TN,565
LLL,588,408,996,,x2H6nsh,575,,R3,885,635,1520,,TAsh,525
LR,633,388,1021,,x3H6,573,,ROM,717,473,1190,,VEN,520
LUC,579,433,1012,,ANT,556,,SHR,622,453,1075,,WIV,503
MAC,437,289,726,,ARD,556,,SPTAD,70,69,139,,ADO,493
MMsh,424,329,753,,SPTKYD,545,,STMsh,51,31,82,,TGV,460
MND,447,303,750,,OTH,530,,TAsh,525,281,806,,JC,447
